Start Time (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
983495063,285469139,cudaMalloc,0,208,2138607,2138607,0,MPI Rank 0
1268965755,295097,cudaMalloc,0,209,2138607,2138607,0,MPI Rank 0
1269261513,305366,cudaMalloc,0,210,2138607,2138607,0,MPI Rank 0
1269573762,28245074,cudaMemcpy,0,211,2138607,2138607,0,MPI Rank 0
1297820399,18709157,cudaMemcpy,0,212,2138607,2138607,0,MPI Rank 0
1316611330,30969,cudaLaunchKernel,0,213,2138607,2138607,0,MPI Rank 0
1316644533,40995325,cudaMemcpy,0,214,2138607,2138607,0,MPI Rank 0
1453972254,617184,cudaMalloc,0,215,2138607,2138607,0,MPI Rank 0
1454590020,328620,cudaMalloc,0,216,2138607,2138607,0,MPI Rank 0
1454919471,285890,cudaMalloc,0,217,2138607,2138607,0,MPI Rank 0
1455206513,29740055,cudaMemcpy,0,218,2138607,2138607,0,MPI Rank 0
1484947760,19237314,cudaMemcpy,0,219,2138607,2138607,0,MPI Rank 0
1504230339,45556,cudaLaunchKernel,0,220,2138607,2138607,0,MPI Rank 0
1504277649,41307304,cudaMemcpy,0,221,2138607,2138607,0,MPI Rank 0
1639248361,654265,cudaMalloc,0,222,2138607,2138607,0,MPI Rank 0
1639903177,319894,cudaMalloc,0,223,2138607,2138607,0,MPI Rank 0
1640223913,306298,cudaMalloc,0,224,2138607,2138607,0,MPI Rank 0
1640531353,40567447,cudaMemcpy,0,225,2138607,2138607,0,MPI Rank 0
1681099352,19365886,cudaMemcpy,0,226,2138607,2138607,0,MPI Rank 0
1700490576,30267,cudaLaunchKernel,0,227,2138607,2138607,0,MPI Rank 0
1700522166,52795764,cudaMemcpy,0,228,2138607,2138607,0,MPI Rank 0
1846377930,600163,cudaMalloc,0,229,2138607,2138607,0,MPI Rank 0
1846978534,388132,cudaMalloc,0,230,2138607,2138607,0,MPI Rank 0
1847367498,293834,cudaMalloc,0,231,2138607,2138607,0,MPI Rank 0
1847662394,28834526,cudaMemcpy,0,232,2138607,2138607,0,MPI Rank 0
1876497481,18757589,cudaMemcpy,0,233,2138607,2138607,0,MPI Rank 0
1895278734,33003,cudaLaunchKernel,0,234,2138607,2138607,0,MPI Rank 0
1895322156,40960881,cudaMemcpy,0,235,2138607,2138607,0,MPI Rank 0
2029639807,669764,cudaMalloc,0,236,2138607,2138607,0,MPI Rank 0
2030310322,316317,cudaMalloc,0,237,2138607,2138607,0,MPI Rank 0
2030627471,297211,cudaMalloc,0,238,2138607,2138607,0,MPI Rank 0
2030925714,28443607,cudaMemcpy,0,239,2138607,2138607,0,MPI Rank 0
2059370323,18719057,cudaMemcpy,0,240,2138607,2138607,0,MPI Rank 0
2088134897,32862,cudaLaunchKernel,0,241,2138607,2138607,0,MPI Rank 0
2088169823,40127457,cudaMemcpy,0,242,2138607,2138607,0,MPI Rank 0
2154697141,478303,cudaFree,0,243,2138607,2138607,0,MPI Rank 0
2155175895,280830,cudaFree,0,244,2138607,2138607,0,MPI Rank 0
2155457617,275740,cudaFree,0,245,2138607,2138607,0,MPI Rank 0
