Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
279129354,470791514,191662160,0,191662160,MPI:MPI_Init,2138607,2138607,0,0,2,,:2,MPI:MPI_Init
722048488,942804763,220756275,0,220756275,MPI:MPI_Send,2138607,2138607,0,0,4,,:4,MPI:MPI_Send
942811867,983486507,40674640,0,40674640,MPI:MPI_Send,2138607,2138607,0,0,5,,:5,MPI:MPI_Send
1316571054,1316643831,72777,0,72777,saxpy,2138607,2138607,0,0,6,,:6,saxpy
1372621070,1385193557,12572487,0,12572487,MPI:MPI_Recv,2138607,2138607,0,0,7,,:7,MPI:MPI_Recv
1431013176,1442720259,11707083,0,11707083,MPI:MPI_Send,2138607,2138607,0,0,8,,:8,MPI:MPI_Send
1442720720,1453964469,11243749,0,11243749,MPI:MPI_Send,2138607,2138607,0,0,9,,:9,MPI:MPI_Send
1504197868,1504276978,79110,0,79110,saxpy,2138607,2138607,0,0,10,,:10,saxpy
1560623152,1571444414,10821262,0,10821262,MPI:MPI_Recv,2138607,2138607,0,0,11,,:11,MPI:MPI_Recv
1617892379,1628575760,10683381,0,10683381,MPI:MPI_Send,2138607,2138607,0,0,12,,:12,MPI:MPI_Send
1628576412,1639238894,10662482,0,10662482,MPI:MPI_Send,2138607,2138607,0,0,13,,:13,MPI:MPI_Send
1700470478,1700521525,51047,0,51047,saxpy,2138607,2138607,0,0,14,,:14,saxpy
1768622763,1779314771,10692008,0,10692008,MPI:MPI_Recv,2138607,2138607,0,0,15,,:15,MPI:MPI_Recv
1825066392,1835739774,10673382,0,10673382,MPI:MPI_Send,2138607,2138607,0,0,16,,:16,MPI:MPI_Send
1835740315,1846369344,10629029,0,10629029,MPI:MPI_Send,2138607,2138607,0,0,17,,:17,MPI:MPI_Send
1895260480,1895312428,51948,0,51948,saxpy,2138607,2138607,0,0,18,,:18,saxpy
1951333099,1962134753,10801654,0,10801654,MPI:MPI_Recv,2138607,2138607,0,0,19,,:19,MPI:MPI_Recv
2008295456,2018961445,10665989,0,10665989,MPI:MPI_Send,2138607,2138607,0,0,20,,:20,MPI:MPI_Send
2018961986,2029631281,10669295,0,10669295,MPI:MPI_Send,2138607,2138607,0,0,21,,:21,MPI:MPI_Send
2078094770,2088168901,10074131,0,10074131,saxpy,2138607,2138607,0,0,22,,:22,saxpy
2143653711,2154342933,10689222,0,10689222,MPI:MPI_Recv,2138607,2138607,0,0,23,,:23,MPI:MPI_Recv
2155737104,2321831332,166094228,0,166094228,MPI:MPI_Finalize,2138607,2138607,0,0,24,,:24,MPI:MPI_Finalize
